id,need_id,observation_type,as_stated,amount_low_usd,amount_high_usd,fiscal_year,period,evidence_id
fund:lrae_navwar_2023-06:N00039-26-RFPREQ-PMA/PMW-101-0005,need:lrae_navwar_2023-06:N00039-26-RFPREQ-PMA/PMW-101-0005,procurement_estimate,< $2M,0,2000000,FY27,Q2,ev:lrae_navwar_2023-06:row28
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0017,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0017,procurement_estimate,$250M - $1B,250000000,1000000000,FY25,Q3,ev:lrae_navwar_2023-06:row29
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0018,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMA/PMW-101-0018,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q3,ev:lrae_navwar_2023-06:row30
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0017,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0017,procurement_estimate,No Range Specified,,,FY23,Q3,ev:lrae_navwar_2023-06:row156
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0011,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0011,procurement_estimate,$7.5M - $50M,7500000,50000000,FY24,Q2,ev:lrae_navwar_2023-06:row157
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0016,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0016,procurement_estimate,No Range Specified,,,FY23,Q1,ev:lrae_navwar_2023-06:row158
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0026,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0026,procurement_estimate,< $2M,0,2000000,FY23,Q4,ev:lrae_navwar_2023-06:row159
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0035,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-150-0035,procurement_estimate,No Range Specified,,,FY23,Q4,ev:lrae_navwar_2023-06:row160
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0019,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0019,procurement_estimate,No Range Specified,,,FY23,Q4,ev:lrae_navwar_2023-06:row161
fund:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0013,need:lrae_navwar_2023-06:N00039-22-RFPREQ-PMW-150-0013,procurement_estimate,< $2M,0,2000000,FY24,Q1,ev:lrae_navwar_2023-06:row162
fund:lrae_navwar_2023-06:N00039-26-RFPREQ-PMA/PMW-101-0003,need:lrae_navwar_2023-06:N00039-26-RFPREQ-PMA/PMW-101-0003,procurement_estimate,$7.5M - $50M,7500000,50000000,FY28,Q2,ev:lrae_navwar_2023-06:row169
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-750-0014,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-750-0014,procurement_estimate,$2M - $7.5M,2000000,7500000,FY24,Q1,ev:lrae_navwar_2023-06:row171
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-750-0001,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-750-0001,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q1,ev:lrae_navwar_2023-06:row172
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-750-0002,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-750-0002,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q1,ev:lrae_navwar_2023-06:row173
fund:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-750-0003,need:lrae_navwar_2023-06:N00039-24-RFPREQ-PMW-750-0003,procurement_estimate,$7.5M - $50M,7500000,50000000,FY25,Q1,ev:lrae_navwar_2023-06:row174
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-750-0015,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-750-0015,procurement_estimate,$7.5M - $50M,7500000,50000000,FY24,Q3,ev:lrae_navwar_2023-06:row175
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0020,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0020,procurement_estimate,< $2M,0,2000000,FY24,Q2,ev:lrae_navwar_2023-06:row176
fund:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0021,need:lrae_navwar_2023-06:N00039-23-RFPREQ-PMW-760-0021,procurement_estimate,< $2M,0,2000000,FY24,Q2,ev:lrae_navwar_2023-06:row177
