sheet,row_number,record_key,pid,office_code_string,office_code,code_family,office_id,include_decision,reason
LRAE Annex 25,9,N00039-25-RFPREQ-CSBO-0001,N00039-25-RFPREQ-CSBO-0001,CSBO - Command Strategy and Business Office - NAVWAR,CSBO,,,unresolved,code CSBO matches no code family
LRAE Annex 25,10,N65236-22-RFPREQ-LSUBP00057-0001,N65236-22-RFPREQ-LSUBP00057-0001,LSUBP00057 - LSUBP00057 - FLEET INSTALLATION & READINESS DIV HD - NIWCLANT,LSUBP00057,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,11,N65236-24-RFPREQ-LSUBP00006-0002,N65236-24-RFPREQ-LSUBP00006-0002,LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,LSUBP00006,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,12,N65236-23-RFPREQ-LSUBP00057-0167,N65236-23-RFPREQ-LSUBP00057-0167,LSUBP00057 - LSUBP00057 - FLEET INSTALLATION & READINESS DIV HD - NIWCLANT,LSUBP00057,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,13,N65236-23-RFPREQ-LSUBP00006-0010,N65236-23-RFPREQ-LSUBP00006-0010,LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,LSUBP00006,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,14,N65236-23-RFPREQ-LSUBP00006-0032,N65236-23-RFPREQ-LSUBP00006-0032,LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,LSUBP00006,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,15,N65236-23-RFPREQ-LSUBP00006-0040,N65236-23-RFPREQ-LSUBP00006-0040,LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,LSUBP00006,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,16,N65236-21-RFPREQ-LSUBP00035-0001,N65236-21-RFPREQ-LSUBP00035-0001,LSUBP00035 - LSUBP00035 - SUBMARINE INTEGRATION DIV HEAD - NIWCLANT,LSUBP00035,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,17,N65236-23-RFPREQ-LSUBP00006-0024,N65236-23-RFPREQ-LSUBP00006-0024,LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,LSUBP00006,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,18,N65236-23-RFPREQ-LSUBP00006-0011,N65236-23-RFPREQ-LSUBP00006-0011,LSUBP00006 - LSUBP00006 - FMS AIR INTEGRATION USCG DIV HEAD - NIWCLANT,LSUBP00006,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,19,N65236-23-RFPREQ-LBUSP00023-0002,N65236-23-RFPREQ-LBUSP00023-0002,LBUSP00023 - LBUSP00023 - C4ISR-01C - NIWCLANT,LBUSP00023,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
