id,record_key,pid,title,office_id,office_code_string,contracting_office_uic,follow_on_or_new,predecessor_refs,valid_from,evidence_id
need:lrae_navwar_2024-06:k:69cd6474df57,k:69cd6474df57,,RSNF inKSA Support Services (C4ISR) Upgrade and Refurbishment (C),pmw:740,PMW-740 - PMW-740 - NAVWAR,N00039,Follow-on,N0017819D8470 N0003920F3015,2024-06-20,ev:lrae_navwar_2024-06:row9
need:lrae_navwar_2024-06:k:4dafe38dd3f8,k:4dafe38dd3f8,,RSNF C4ISR Training Services III (C),pmw:740,PMW-740 - PMW-740 - NAVWAR,N00039,Follow-on,N0017819D8453 N0003921F3001,2024-06-20,ev:lrae_navwar_2024-06:row11
need:lrae_navwar_2024-06:k:32c2012637eb,k:32c2012637eb,,ADNS Production MAC RFP #28 (C),pmw:160,PMW-160 - PMW-160 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row12
need:lrae_navwar_2024-06:k:56701d2778bf,k:56701d2778bf,,ADNS Production MAC RFP #29 (C),pmw:160,PMW-160 - PMW-160 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row13
need:lrae_navwar_2024-06:k:4a65a57736d1,k:4a65a57736d1,,ADNS Production MAC RFP #30 (C),pmw:160,PMW-160 - PMW-160 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row14
need:lrae_navwar_2024-06:k:f6d0582f2520,k:f6d0582f2520,,ADNS Production MAC RFP #31 (C),pmw:160,PMW-160 - PMW-160 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row15
need:lrae_navwar_2024-06:k:5de9e61f8195,k:5de9e61f8195,,ADNS Production MAC RFP #32 (C),pmw:160,PMW-160 - PMW-160 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row16
need:lrae_navwar_2024-06:k:d6ba4152bc69,k:d6ba4152bc69,,ADNS Production MAC RFP #33 (C),pmw:160,PMW-160 - PMW-160 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row17
need:lrae_navwar_2024-06:k:4a89bfc831b9,k:4a89bfc831b9,,ADNS Production MAC RFP #34 (C),pmw:160,PMW-160 - PMW-160 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row18
need:lrae_navwar_2024-06:k:fed1004fce03,k:fed1004fce03,,ADNS Production MAC RFP #35 (C),pmw:160,PMW-160 - PMW-160 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row19
