change,key,key_method,field,old_value,new_value,old_row,new_row,office
added,k:0015d612b661,title+office,,,LIPTM00107 - Naval Tactical Command Support System - NTCSS Development Atlassian Support Renewal - Atlassian ESI - SEWP ,,548,LSUBP00095
added,k:006a887b9769,title+office,,,LIPTM000250_Shore Sub C4I IPT_SOA_ Nutanix 2nd buy_DOD ESI (C),,547,LSUBP00035
added,k:009a52c04f83,title+office,,,Logistics & Warehouse Services Follow-On Action (C),,219,NP-43100
changed,k:00c513210a21,title+office,solicitation_quarter,Q3,Q2,729,228,NP-41100
removed,k:00eaec5cedf9,title+office,,LIPTM00241 - USCG IPT - L-3  Communications Corp - NICHE Contract (N65236-23-R-0052),,139,,LSUBP00006
added,k:010694163cdb,title+office,,,"LIPTM00183, INIS IPT, NEW Seaport - SBSA (C)",,814,LSUBP00023
removed,k:013797079dc0,title+office,,LIPTM00116-UCVS IPT_Windows 11 Management Workstation Migration_SEWP (C),,394,,LSUBP00015
added,k:016db1e0a050,title+office,,,Order to Contract N6600120D0044 RFP 0252,,291,NP-41100
removed,k:0171a3f413ec,title+office,,0214 (ADNS) Post Installation Training (PIT),,845,,NP-41200
added,k:0196fec2f400,title+office,,,SEAPORT-Sierra Hotel Aviation Readiness Program (SHARP) Follow-On (C),,225,NP-53400
removed,k:01a4db68c230,title+office,,"LIPTM00119, IC IPT, VIDEO ESB-7 SITE 300 PROCUREMENT, SEWP (C)",,680,,LSUBP00034
changed,k:01ebb50025bc,title+office,solicitation_fy,FY26,FY25,747,220,NP-43100
changed,k:01ebb50025bc,title+office,solicitation_quarter,Q1,Q4,747,220,NP-43100
removed,k:02073b243761,title+office,,NIAPS Task Order LCS 38 Support,,835,,NP-53400
removed,k:0220a4bd8354,title+office,,NMT Camp Roberts and Fort Buckner - 5094 (C),,342,,LSUBP00057
removed,k:0290f9cde779,title+office,,LIPTM00107 - Naval Tactical Command Support System - NTCSS Development Hardware Support Renewal - NASA SEWP (C),,659,,LSUBP00056
unchanged,k:02e84fe2f3a7,title+office,,,,738,226,NP-53000
added,k:0364eab1e15c,title+office,,,"GIC TORFP 5129: Shore TO, AV/VTC Installation at COMLOG WESTPAC, Singapore (C)",,273,NP-42100
removed,k:036fd1bccd2a,title+office,,LIPTM00248 - AFLOAT SUB C4I IPT - FY24 KMI Kits and ADNS Kits - NEW SAC DO - CORPORATE PRODUCTION SAC N6523618D8014,,158,,LSUBP00035
removed,k:0376f7105986,title+office,,Spanish (SP-B-WAZ) Conversion from LVT(2) to LVT(11),,427,,PMA/PMW-101
