id,need_id,identifier,identifier_type,as_stated,resolved_in_fpds,evidence_ref
pref:lrae_navwar_2025-06:N00039-22-RFPREQ-PMW/A-170-0002:N0003914C00041,need:lrae_navwar_2025-06:N00039-22-RFPREQ-PMW/A-170-0002,N0003914C00041,piid,N0003914C00041,no,sha256:64617734074f13033de065fe3497045f8aacfc1baccbe093bd1addf7769aa22a
pref:lrae_navwar_2025-06:N00039-22-RFPREQ-PMW/A-170-0021:N0003916C0050,need:lrae_navwar_2025-06:N00039-22-RFPREQ-PMW/A-170-0021,N0003916C0050,piid,N00039-16-C-0050,yes,sha256:0229a9640ee66cd74c7e15780168767a5cdef6aed6f327edd4acc98e80d875a9
pref:lrae_navwar_2025-06:N00039-23-RFPREQ-PMA/PMW-101-0017:N0003915D0042,need:lrae_navwar_2025-06:N00039-23-RFPREQ-PMA/PMW-101-0017,N0003915D0042,piid,N0003915D0042 and N0003915D0043,yes,sha256:bc9df90b22fbe4dd534c017ffe8bc178e04b474333d20fa19c4e0b50d1010d20
pref:lrae_navwar_2025-06:N00039-23-RFPREQ-PMA/PMW-101-0017:N0003915D0043,need:lrae_navwar_2025-06:N00039-23-RFPREQ-PMA/PMW-101-0017,N0003915D0043,piid,N0003915D0042 and N0003915D0043,yes,sha256:dcac1fe2fbc341136745ef21707b3aa43eb74183a5c48ebadc7b911b04d003dd
pref:lrae_navwar_2025-06:N00039-24-RFPREQ-PEO-C4I-0001:N0003920F3502,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PEO-C4I-0001,N0003920F3502,piid,N0003920F3502,yes,sha256:ef27acfd77488446d85c8b3b94d21875c49014b80680668fb53f72ed120ad6ee
pref:lrae_navwar_2025-06:N00039-24-RFPREQ-PMA/PMW-101-0276:N0003920D0057,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMA/PMW-101-0276,N0003920D0057,piid,N0003920D0057N0003921F2189,yes,sha256:c3e4025f2ac213388816d2705b59e2331b2efde6f1611dbcddf276e49e479618
pref:lrae_navwar_2025-06:N00039-24-RFPREQ-PMA/PMW-101-0276:N0003921F2189,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMA/PMW-101-0276,N0003921F2189,piid,N0003920D0057N0003921F2189,yes,sha256:deb98b0c5e09d3b61356cdbb44cc1761c5380cb6e7000e1ea018703e65614a49
pref:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-120-0001:N0003921F3003,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-120-0001,N0003921F3003,piid,N0017819D7264N0003921F3003,yes,sha256:b31ab988ae49bd5c1073226178906b999c7d7b886d4c3cd5944597af75377d0b
pref:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-120-0001:N0017819D7264,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-120-0001,N0017819D7264,piid,N0017819D7264N0003921F3003,yes,sha256:202314b8c6b6fd6bd30bec03aec13fb6df3baf75d5879fe50250a18801104e07
pref:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-150-0157:N0003916D0075,need:lrae_navwar_2025-06:N00039-24-RFPREQ-PMW-150-0157,N0003916D0075,piid,N0003916D0075,yes,sha256:3a7591cd3a13f4496552247eea2454ec3c7d2f82a4e9ddeec16fab99ea6c5fe7
