# Forecast lines in lrae_navwar_2025-06 with a solicitation window through FY26: 103 of 148 included lines
# Read on 2026-09-21 against saved SAM.gov searches (retrieved 2026-09-17 to 2026-09-20), FPDS lookups (retrieved 2026-09-16 to 2026-09-20) and attribution examples. Nothing here is fetched live: a negative reading says the saved records hold nothing, not that nothing happened.
# Notice column: explicit joins first (PID or incumbent contract number in the notice text), then candidates marked ~: a shared program name or code that few lines carry, with the notice's own office compared to the line's. A candidate is a reviewer's call. 'related:' marks a notice for a different lot, family or generation of the same program: context, never this line's solicitation.
# Incumbent column: USAspending last-modified date; a * means only the first FPDS page was saved and later actions may exist.

| PID | title | office | sol | award | value as stated | notice | incumbent last action | award found | reading |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| N00039-24-RFPREQ-PEO-C4I-0012 | MIDS WDL SF2 Production (C) | peo:c4i | FY24 Q4 | FY25 Q4 | $250M - $1B | ~Presolicitation 2024-07-30 (N0003924R4100); ~Solicitation 2024-08-30 (N0003924R4100); related: Presolicitation 2026-08-12 (N00039PRESOL_SF3) | - | ~N0003925D4006 2025-09-29; ~N0003925D4007 2025-09-29; ~N0003925F4056 2025-09-29 | candidate: solicitation posted 2024-08-30 (shared program tokens mids, sf2, wdl; notice office not read (detail not saved)); 4 award action(s) under that solicitation, first signed 2025-09-29; a reviewer decides whether  |
| N00039-24-RFPREQ-PEO-C4I-0001 | PEO C4I Executive Office Support Services (C) | peo:c4i | FY25 Q1 | FY25 Q3 | $50M - $100M | - | 2021-12-14* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2021-12-14 |
| N00039-25-RFPREQ-C4IEXEC-0014 | Platform Integration and Modernization Support S | peo:c4i | FY26 Q1 | FY26 Q3 | $50M - $100M | - | 2023-06-27* | N0003921F3014 (EX17, reviewed attribution) | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2023-06-27 |
| N00039-24-RFPREQ-C4IEXEC-0002 | C-SEA (C) | peo:c4i | FY26 Q2 | FY26 Q4 | $100M - $250M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-24-RFPREQ-PMA/PMW-101-0276 | MIDS JTRS - Lot 4 - DLS - F-22 Spares | pmw:101 | FY24 Q4 | FY25 Q4 | $7.5M - $50M | - | 2025-12-23* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2025-12-23 |
| N00039-24-RFPREQ-PMA/PMW-101-0278 | MIDS JTRS Lot 13C DO (C) | pmw:101 | FY24 Q4 | FY25 Q2 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMA/PMW-101-0046 | DO 0002 under SF1 Contract N0003923D4000_N000392 | pmw:101 | FY25 Q1 | FY25 Q3 | $7.5M - $50M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMA/PMW-101-0267 | N0003922D4001_GE_TATS | pmw:101 | FY25 Q1 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-24-RFPREQ-PMA/PMW-101-0115 | Order to Contract #N0003922D4001_EVTT Upgrade | pmw:101 | FY25 Q1 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMA/PMW-101-0075 | MIDS JTRS - Lot 14 - Terminals & Spares | pmw:101 | FY25 Q2 | FY25 Q4 | No Range Specified | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMA/PMW-101-0077 | N0003925F4012_DLS FSE_Korean terminal_troublesho | pmw:101 | FY25 Q2 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMA/PMW-101-0045 | N00039FXXXX_FR_ML2 | pmw:101 | FY25 Q2 | FY25 Q3 | < $2M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMA/PMW-101-0022 | LCM Procurement and Sustainment | pmw:101 | FY25 Q3 | FY25 Q3 | $50M - $100M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20 |
| N00039-25-RFPREQ-PMA/PMW-101-0154 | Lot 14T Taiwan (DLS) | pmw:101 | FY25 Q3 | FY26 Q1 | $50M - $100M | - | - | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov |
| N00039-25-RFPREQ-PMA/PMW-101-0130 | MIDS JTRS Terminal Repair and Retrofits L3H | pmw:101 | FY25 Q3 | FY25 Q4 | $50M - $100M | - | 2023-08-03* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2023-08-03 |
| N00039-23-RFPREQ-PMA/PMW-101-0017 | MIDS-LVT IDIQ - New Contracts (C) | pmw:101 | FY25 Q3 | FY25 Q3 | $250M - $1B | Justification 2023-11-28 (N00039-15-D-0043); ~Presolicitation 2025-04-09 (N00039-24-R-4019) | 2023-10-19* | ~N0003926DE001 2026-04-13; ~N0003926DE002 2026-04-13 | candidate: presolicitation posted 2025-04-09 (shared program tokens lvt, mids; same office); 2 award action(s) under that solicitation, first signed 2026-04-13; a reviewer decides whether it is this line; meanwhile incum |
| N00039-25-RFPREQ-PMA/PMW-101-0129 | MidS JTRS Terminal Repair and Retrofits DLS | pmw:101 | FY25 Q3 | FY25 Q4 | $50M - $100M | - | 2026-04-17* | - | no public notice found in the saved SAM.gov searches as of 2026-09-20; SeaPort/GSA order competitions are not posted on SAM.gov; incumbent last acted 2026-04-17 |
